"url","status","hops","chain","finalStatus","finalUrl"
"https://shop.oligopolypeptides.com/products/selank-5mg-research-peptide/","301","1","[""https://www.oligopolypeptides.com/products/selank-5mg-research-peptide/""]","200","https://www.oligopolypeptides.com/products/selank-5mg-research-peptide/"
"https://shop.oligopolypeptides.com/","301","1","[""https://www.oligopolypeptides.com/""]","200","https://www.oligopolypeptides.com/"
"https://www.oligopolypeptides.com/products/ara-290-10mg-research-peptide/","404","0","[]","404","https://www.oligopolypeptides.com/products/ara-290-10mg-research-peptide/"
